user,date,text,favorite_count,location,hashtags
Dr_PeterMugo,Thu Sep 23 13:57:05 +0000 2021,@SafaricomPLC @Safaricom_Care @SafaricomPLC kindly help me deal with these thieves. They have refused to pick up my calls,0,world 🌏,[]
Shel_Kariuki,Thu Sep 23 13:47:33 +0000 2021,RT @linnetwm: @Shel_Kariuki @Safaricom_Care I went to their branch &amp; they confirmed the money had been withdrawn &amp; I should go to the cops.…,0,"Nairobi, Kenya",[]
linnetwm,Thu Sep 23 13:47:04 +0000 2021,@Shel_Kariuki @Safaricom_Care I went to their branch &amp; they confirmed the money had been withdrawn &amp; I should go to… https://t.co/BIchbLZYtV,1,"Nairobi, Kenya",[]
Shel_Kariuki,Thu Sep 23 13:45:37 +0000 2021,RT @linnetwm: @Safaricom_Care @Shel_Kariuki The transaction made thru @MoneyGram directly to M-PESA. The only message I get as the sender i…,0,"Nairobi, Kenya",[]
linnetwm,Thu Sep 23 13:43:30 +0000 2021,@Safaricom_Care @Shel_Kariuki The transaction made thru @MoneyGram directly to M-PESA. The only message I get as th… https://t.co/23mI1mUPkB,1,"Nairobi, Kenya",[]
AKenyanGirl,Thu Sep 23 13:41:49 +0000 2021,"Hmm.
@Safaricom_Care 
The M-PESA app keeps popping up.
Also, I've been unable to use it since yesterday.
Help?",1,"Nairobi, Kenya ",[]
Shel_Kariuki,Thu Sep 23 13:33:38 +0000 2021,"@linnetwm @Safaricom_Care Aki pole sana. Saf should be able to help you out here. Call them and plead your case, bu… https://t.co/ewv5uSaYoo",0,"Nairobi, Kenya",[]
linnetwm,Thu Sep 23 13:29:10 +0000 2021,"@Shel_Kariuki @Safaricom_Care Thanks! I’m losing my mind here. It’s more than KES 70,000 &amp; literally all the detail… https://t.co/lwvN6UraKN",1,"Nairobi, Kenya",[]
Shel_Kariuki,Thu Sep 23 13:27:22 +0000 2021,Aki surely @Safaricom_Care  ... does it mean that if I send a huge amount of money to a wrong number hiyo story ina… https://t.co/HvxjtKydml,0,"Nairobi, Kenya",[]
murrayk1,Thu Sep 23 12:52:52 +0000 2021,@KenyaPower_Care @KenyaPower @EnergyMinK It is easier to Access A Police Station than it is to Access Kenya Power O… https://t.co/jlQDByHHYe,0,"London, England",[]
Safaricom_Care,Thu Sep 23 12:49:53 +0000 2021,"@Jerry_Mwas Hello Jerry, our apologies. Please share with us details of the issue, for us to advise. ^AO",1,"Nairobi, Kenya",[]
omwami_jp,Thu Sep 23 12:24:07 +0000 2021,Hi. @Safaricom_Care I did an mpesa transaction no. PIC8T7ZA6G to a wrong till hosted by @KCBGroup on 12th September… https://t.co/vp4rSGY7vr,0,,[]
NCBALoop,Thu Sep 23 12:04:06 +0000 2021,"@muhmathu @Safaricom_Care @NCBABankKenya @StanbicKE Also, we urge you not to share any of your banking details with… https://t.co/nqR9cy2xfP",0,Kenya,[]
NCBALoop,Thu Sep 23 11:45:31 +0000 2021,"@muhmathu @Safaricom_Care @NCBABankKenya @StanbicKE Hi @muhmathu, thank you for reaching out to us. Please share yo… https://t.co/TJ6RyC70HL",0,Kenya,[]
muhmathu,Thu Sep 23 11:32:54 +0000 2021,"@Safaricom_Care Another one, I believe both @NCBALoop @NCBABankKenya and @StanbicKE are out sharing details with th… https://t.co/xfbDLQ3bgs",0,nairobi,[]
